Kab/Kota,Tahun,Jumlah_Kasus
Kep. Mentawai,2013,0
Pesisir Selatan,2013,595
Solok,2013,42
Sijunjung,2013,37
Tanah Datar,2013,300
Padang Pariaman,2013,96
Agam,2013,220
Lima Puluh Kota,2013,116
Pasaman,2013,57
Solok Selatan,2013,89
Dharmasraya,2013,100
Pasaman Barat,2013,3
Padang,2013,998
Solok,2013,24
Sawahlunto,2013,77
Padang Panjang,2013,8
Bukittinggi,2013,152
Payakumbuh,2013,32
Pariaman,2013,73
Kep. Mentawai,2014,0
Pesisir Selatan,2014,277
Solok,2014,54
Sijunjung,2014,53
Tanah Datar,2014,279
Padang Pariaman,2014,94
Agam,2014,213
Lima Puluh Kota,2014,147
Pasaman,2014,61
Solok Selatan,2014,20
Dharmasraya,2014,35
Pasaman Barat,2014,135
Padang,2014,665
Solok,2014,50
Sawahlunto,2014,41
Padang Panjang,2014,4
Bukittinggi,2014,132
Payakumbuh,2014,9
Pariaman,2014,49
Kep. Mentawai,2015,0
Pesisir Selatan,2015,277
Solok,2015,202
Sijunjung,2015,238
Tanah Datar,2015,396
Padang Pariaman,2015,172
Agam,2015,280
Lima Puluh Kota,2015,190
Pasaman,2015,106
Solok Selatan,2015,20
Dharmasraya,2015,160
Pasaman Barat,2015,108
Padang,2015,1126
Solok,2015,42
Sawahlunto,2015,170
Padang Panjang,2015,56
Bukittinggi,2015,14
Payakumbuh,2015,31
Pariaman,2015,156
Kep. Mentawai,2016,12
Pesisir Selatan,2016,236
Solok,2016,184
Sijunjung,2016,117
Tanah Datar,2016,253
Padang Pariaman,2016,181
Agam,2016,461
Lima Puluh Kota,2016,234
Pasaman,2016,141
Solok Selatan,2016,152
Dharmasraya,2016,276
Pasaman Barat,2016,102
Padang,2016,911
Solok,2016,98
Sawahlunto,2016,208
Padang Panjang,2016,71
Bukittinggi,2016,121
Payakumbuh,2016,108
Pariaman,2016,119
Kep. Mentawai,2017,1
Pesisir Selatan,2017,216
Solok,2017,91
Sijunjung,2017,141
Tanah Datar,2017,230
Padang Pariaman,2017,77
Agam,2017,125
Lima Puluh Kota,2017,221
Pasaman,2017,326
Solok Selatan,2017,98
Dharmasraya,2017,60
Pasaman Barat,2017,43
Padang,2017,608
Solok,2017,44
Sawahlunto,2017,180
Padang Panjang,2017,14
Bukittinggi,2017,69
Payakumbuh,2017,65
Pariaman,2017,82
Kep. Mentawai,2018,2
Pesisir Selatan,2018,157
Solok,2018,140
Sijunjung,2018,86
Tanah Datar,2018,156
Padang Pariaman,2018,97
Agam,2018,205
Lima Puluh Kota,2018,39
Pasaman,2018,57
Solok Selatan,2018,102
Dharmasraya,2018,44
Pasaman Barat,2018,73
Padang,2018,699
Solok,2018,79
Sawahlunto,2018,22
Padang Panjang,2018,21
Bukittinggi,2018,102
Payakumbuh,2018,37
Pariaman,2018,73
Kep. Mentawai,2019,54
Pesisir Selatan,2019,115
Solok,2019,104
Sijunjung,2019,74
Tanah Datar,2019,117
Padang Pariaman,2019,132
Agam,2019,178
Lima Puluh Kota,2019,84
Pasaman,2019,195
Solok Selatan,2019,64
Dharmasraya,2019,26
Pasaman Barat,2019,136
Padang,2019,430
Solok,2019,53
Sawahlunto,2019,121
Padang Panjang,2019,62
Bukittinggi,2019,134
Payakumbuh,2019,99
Pariaman,2019,85
Kep. Mentawai,2020,46
Pesisir Selatan,2020,26
Solok,2020,61
Sijunjung,2020,27
Tanah Datar,2020,27
Padang Pariaman,2020,35
Agam,2020,36
Lima Puluh Kota,2020,39
Pasaman,2020,10
Solok Selatan,2020,25
Dharmasraya,2020,100
Pasaman Barat,2020,125
Padang,2020,291
Solok,2020,21
Sawahlunto,2020,32
Padang Panjang,2020,17
Bukittinggi,2020,37
Payakumbuh,2020,30
Pariaman,2020,38
Kep. Mentawai,2021,2
Pesisir Selatan,2021,2
Solok,2021,7
Sijunjung,2021,8
Tanah Datar,2021,18
Padang Pariaman,2021,10
Agam,2021,4
Lima Puluh Kota,2021,10
Pasaman,2021,17
Solok Selatan,2021,12
Dharmasraya,2021,6
Pasaman Barat,2021,18
Padang,2021,293
Solok,2021,23
Sawahlunto,2021,12
Padang Panjang,2021,7
Bukittinggi,2021,27
Payakumbuh,2021,12
Pariaman,2021,41
Kep. Mentawai,2022,96
Pesisir Selatan,2022,479
Solok,2022,156
Sijunjung,2022,84
Tanah Datar,2022,458
Padang Pariaman,2022,61
Agam,2022,384
Lima Puluh Kota,2022,56
Pasaman,2022,203
Solok Selatan,2022,19
Dharmasraya,2022,46
Pasaman Barat,2022,264
Padang,2022,824
Solok,2022,59
Sawahlunto,2022,174
Padang Panjang,2022,175
Bukittinggi,2022,176
Payakumbuh,2022,93
Pariaman,2022,215
Kep. Mentawai,2023,7
Pesisir Selatan,2023,149
Solok,2023,120
Sijunjung,2023,32
Tanah Datar,2023,149
Padang Pariaman,2023,60
Agam,2023,173
Lima Puluh Kota,2023,35
Pasaman,2023,98
Solok Selatan,2023,104
Dharmasraya,2023,16
Pasaman Barat,2023,116
Padang,2023,479
Solok,2023,27
Sawahlunto,2023,52
Padang Panjang,2023,53
Bukittinggi,2023,59
Payakumbuh,2023,45
Pariaman,2023,158
Kep. Mentawai,2024,108
Pesisir Selatan,2024,160
Solok,2024,106
Sijunjung,2024,74
Tanah Datar,2024,113
Padang Pariaman,2024,138
Agam,2024,228
Lima Puluh Kota,2024,49
Pasaman,2024,186
Solok Selatan,2024,120
Dharmasraya,2024,61
Pasaman Barat,2024,250
Padang,2024,542
Solok,2024,85
Sawahlunto,2024,175
Padang Panjang,2024,116
Bukittinggi,2024,116
Payakumbuh,2024,46
Pariaman,2024,76
